customer_id,segment,age,income,location,join_date,base_purchase_prob,price_sensitivity,promotion_response,churn_rate,quantum_entanglement,network_influence,temporal_volatility,quantum_purchase_impulse,quantum_loyalty,influence_score,susceptibility,age_group,income_group,quantum_complexity,behavioral_entropy
11,premium,23.34774972455642,37474.362064599685,rural,2025-06-10 01:57:29.123445,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.26500694048682016,0.44861081702574346,young,medium,0.14400000000000004,0.0036
12,premium,71.82890785988194,8606.48745648509,urban,2023-08-08 01:57:29.129593,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.15127924903308537,0.32445059897491574,elderly,low,0.14400000000000004,0.0036
13,premium,59.37620754319948,42529.16919853493,rural,2024-04-07 01:57:29.136271,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.5201871552741655,0.41773675711291514,senior,medium,0.14400000000000004,0.0036
14,premium,52.55395596217226,14888.94795799883,suburban,2025-03-12 01:57:29.143422,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.23785730997176283,0.7002637363306593,senior,low,0.14400000000000004,0.0036
15,premium,36.04654002655871,49889.02289375832,rural,2022-10-31 01:57:29.152055,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.1833512468770577,0.2511109965053982,adult,medium,0.14400000000000004,0.0036
16,premium,71.68386515828942,27502.372457427275,rural,2024-03-05 01:57:29.157810,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.42463761952197804,0.7184552959158871,elderly,low,0.14400000000000004,0.0036
17,premium,47.11361052106983,27704.697958372126,urban,2025-03-08 01:57:29.166125,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.37701444378820803,0.7634995187282814,adult,low,0.14400000000000004,0.0036
18,premium,47.796814721541416,24688.441586322373,suburban,2023-09-24 01:57:29.172138,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.47441922426853556,0.19466757161280576,adult,low,0.14400000000000004,0.0036
19,premium,69.77026479719235,45338.403607230306,suburban,2024-03-02 01:57:29.180190,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.5463918013373273,0.2918262890712589,elderly,medium,0.14400000000000004,0.0036
20,premium,64.84895710726855,22231.059674176133,rural,2024-10-04 01:57:29.187208,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2734841186870179,0.6174567364982083,senior,low,0.14400000000000004,0.0036
21,premium,76.66976462424378,41793.49288836697,urban,2025-03-21 01:57:29.193549,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.21935449118475614,0.4935055102465066,elderly,medium,0.14400000000000004,0.0036
22,premium,49.60949281314914,14856.07563211181,rural,2025-03-15 01:57:29.201224,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.05680337335993271,0.42814449638731783,adult,low,0.14400000000000004,0.0036
23,premium,58.96401125961118,42705.5076742486,rural,2024-01-30 01:57:29.206236,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.459807093100846,0.3262517495705465,senior,medium,0.14400000000000004,0.0036
24,premium,55.005841552046874,59133.91322835544,rural,2023-02-27 01:57:29.214642,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2089847738799713,0.37446235116151155,senior,medium,0.14400000000000004,0.0036
25,premium,37.39585236943305,64678.05028399472,rural,2024-07-27 01:57:29.220654,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2497679275220273,0.9127467689379709,adult,high,0.14400000000000004,0.0036
26,premium,68.55048420814009,42674.604511543344,urban,2024-05-28 01:57:29.228184,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.15450740124203077,0.5255399843784474,elderly,medium,0.14400000000000004,0.0036
27,premium,45.18888601172692,29261.528132333624,urban,2023-12-01 01:57:29.236200,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.5495350406530136,0.6555125104526968,adult,low,0.14400000000000004,0.0036
28,premium,24.674130667231015,43082.75103094921,urban,2023-06-26 01:57:29.243683,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.6155334411548372,0.24147786496481524,young,medium,0.14400000000000004,0.0036
29,premium,19.04527034363733,73115.6946601694,suburban,2024-11-07 01:57:29.250144,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.12194579964344428,0.502912350542263,young,high,0.14400000000000004,0.0036
30,premium,46.647901095648734,82407.35677703927,rural,2024-04-08 01:57:29.257541,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.220981454404552,0.7093436238876659,adult,high,0.14400000000000004,0.0036
31,premium,33.31379656128187,6379.949067660919,rural,2023-01-10 01:57:29.264294,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.27444403135135104,0.6503140408870831,young_adult,low,0.14400000000000004,0.0036
32,premium,52.878175690364216,23522.413968853598,suburban,2024-08-15 01:57:29.272314,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2113059923190623,0.3531166208518147,senior,low,0.14400000000000004,0.0036
33,premium,54.685991830848714,16956.721192873127,suburban,2023-06-03 01:57:29.278171,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.39341987330227207,0.07637079201217266,senior,low,0.14400000000000004,0.0036
34,premium,32.8056667782202,37722.95295791612,rural,2024-05-12 01:57:29.285326,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.4731014936971878,0.22702299522981456,young_adult,medium,0.14400000000000004,0.0036
35,premium,46.83758247509279,97414.50941162785,rural,2023-03-11 01:57:29.294266,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2867601763000478,0.7226786374149247,adult,high,0.14400000000000004,0.0036
36,premium,52.07740486899594,50288.541569364104,urban,2024-09-18 01:57:29.299803,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.8014509262757248,0.47819220357598075,senior,medium,0.14400000000000004,0.0036
37,premium,60.82996494819622,50353.183858090626,urban,2025-01-24 01:57:29.307819,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.3676105485399797,0.3555229348501796,senior,medium,0.14400000000000004,0.0036
38,premium,24.02148639271288,48121.51331390637,suburban,2024-09-15 01:57:29.313987,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2492665716098499,0.4496874748990986,young,medium,0.14400000000000004,0.0036
39,premium,50.853799034747134,34806.018066336226,rural,2023-09-12 01:57:29.320173,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2247071697553236,0.31842761026055594,senior,medium,0.14400000000000004,0.0036
40,premium,48.23790972283508,85348.47253645396,urban,2025-03-21 01:57:29.328281,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2204325369007078,0.8533391161570189,adult,high,0.14400000000000004,0.0036
41,premium,80.84817408327486,26843.869797681804,rural,2023-10-22 01:57:29.334296,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.10674861092182375,0.633749484204108,elderly,low,0.14400000000000004,0.0036
42,premium,52.741870928665364,46062.14862705036,urban,2025-06-14 01:57:29.342052,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.5261261746936157,0.6061186565442239,senior,medium,0.14400000000000004,0.0036
43,premium,17.086351787180302,59782.60636326614,rural,2024-02-02 01:57:29.348485,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.15474403562590625,0.2828082946689151,young,medium,0.14400000000000004,0.0036
44,premium,57.42230235585158,60171.101861807525,rural,2022-11-11 01:57:29.356503,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2475100266394048,0.397675688102991,senior,high,0.14400000000000004,0.0036
45,premium,6.40603137923484,29948.391023570184,urban,2025-02-09 01:57:29.363518,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2798161184339258,0.6074763897534311,young,low,0.14400000000000004,0.0036
46,premium,40.96748734807237,29145.851212925,rural,2024-03-16 01:57:29.370239,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.3744600510193044,0.5234900781482977,adult,low,0.14400000000000004,0.0036
47,premium,21.24889918440732,73698.77092109696,urban,2025-02-02 01:57:29.376993,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.43053700203925416,0.6767589904374974,young,high,0.14400000000000004,0.0036
48,premium,42.13632762917486,42467.19081288036,urban,2022-10-26 01:57:29.383002,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.5063036113718986,0.755989814775379,adult,medium,0.14400000000000004,0.0036
49,premium,29.096125890808203,20765.067813444177,suburban,2024-11-16 01:57:29.389942,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.5059852527918053,0.1389817654690084,young_adult,low,0.14400000000000004,0.0036
50,premium,36.543503368154475,6099.105196603168,rural,2023-03-11 01:57:29.396432,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2851161452250057,0.6189537699137921,adult,low,0.14400000000000004,0.0036
51,premium,20.662145547033717,43066.2185377662,rural,2024-04-02 01:57:29.404191,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.6058078058175626,0.3870442091039222,young,medium,0.14400000000000004,0.0036
52,premium,19.60100737935316,23149.617979353,suburban,2025-06-12 01:57:29.411522,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.3865787789053638,0.4268635773773755,young,low,0.14400000000000004,0.0036
53,premium,62.778154372663344,25977.353110525288,urban,2024-11-05 01:57:29.417535,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.17663223310674983,0.6828123213234231,senior,low,0.14400000000000004,0.0036
54,premium,33.08546137254717,81665.26290018023,urban,2023-05-23 01:57:29.423549,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.06409359414783482,0.4939765539104067,young_adult,high,0.14400000000000004,0.0036
55,premium,72.16425399497915,35938.902385077,urban,2023-01-27 01:57:29.433088,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.25682796140370984,0.7956691352982151,elderly,medium,0.14400000000000004,0.0036
56,premium,50.5739074572979,34228.05983706337,urban,2023-03-23 01:57:29.438602,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.307277261356212,0.6327198942812786,senior,medium,0.14400000000000004,0.0036
57,premium,18.67819739137149,34134.128912449305,rural,2025-01-22 01:57:29.445001,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.33518003212394176,0.7198630429659321,young,medium,0.14400000000000004,0.0036
58,premium,33.04572846338175,34965.41071008905,suburban,2024-11-02 01:57:29.453388,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.48481854136674224,0.29461267322734314,young_adult,medium,0.14400000000000004,0.0036
59,premium,45.59612543865641,36522.15126589588,suburban,2025-03-22 01:57:29.460378,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.3608533337473168,0.6009024608862417,adult,medium,0.14400000000000004,0.0036
60,premium,42.10830319142088,33623.538188683866,rural,2023-06-23 01:57:29.467515,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2879486963019141,0.7125203440805652,adult,medium,0.14400000000000004,0.0036
61,premium,13.799736587296483,19109.28378439426,rural,2024-01-09 01:57:29.473528,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.1855571618053688,0.5655105814785647,young,low,0.14400000000000004,0.0036
62,premium,44.70177584566702,133099.5098247465,rural,2024-06-07 01:57:29.481015,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.33630902318455613,0.24154343469960599,adult,very_high,0.14400000000000004,0.0036
63,premium,32.92819625009513,35691.132812239106,urban,2023-01-12 01:57:29.487530,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.21794731497239522,0.6563096195751855,young_adult,medium,0.14400000000000004,0.0036
64,premium,50.736146192760756,16564.544741040514,suburban,2023-03-17 01:57:29.495842,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.22801859226764978,0.45757551733954543,senior,low,0.14400000000000004,0.0036
65,premium,27.396446894818123,40193.537799364356,urban,2023-11-17 01:57:29.501600,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.0978598099635692,0.3971203115058473,young_adult,medium,0.14400000000000004,0.0036
66,premium,50.01685184980538,56503.0793986104,suburban,2022-12-18 01:57:29.508079,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.10155217990783053,0.46371401188394606,senior,medium,0.14400000000000004,0.0036
67,premium,48.60034106527569,42309.93300108981,urban,2023-11-26 01:57:29.513834,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.260228196318638,0.43669971386405043,adult,medium,0.14400000000000004,0.0036
68,premium,39.44514947104055,23937.953869772176,suburban,2023-12-16 01:57:29.522178,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.36146929484994633,0.5216106552987523,adult,low,0.14400000000000004,0.0036
69,premium,48.74075525566133,79915.62262650243,suburban,2023-03-11 01:57:29.529680,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.12617488933788093,0.6706502288349889,adult,high,0.14400000000000004,0.0036
70,premium,75.30602945523168,25085.941328522586,urban,2024-03-16 01:57:29.535521,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.4994872237672853,0.6473409982219388,elderly,low,0.14400000000000004,0.0036
71,premium,42.33389517768891,19145.975208976,urban,2024-06-02 01:57:29.543664,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.33026928591925675,0.5975878944901767,adult,low,0.14400000000000004,0.0036
72,premium,26.22690863714334,74748.34137448318,rural,2024-02-13 01:57:29.549270,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.3434027861612391,0.4980195689162662,young_adult,high,0.14400000000000004,0.0036
73,premium,63.738026512313,46430.055831912694,urban,2023-06-16 01:57:29.557695,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.08777792562956999,0.628663694104643,senior,medium,0.14400000000000004,0.0036
74,premium,38.21540521126385,10808.199485588577,rural,2025-01-04 01:57:29.564944,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.5568398648442695,0.5882994069006304,adult,low,0.14400000000000004,0.0036
75,premium,52.87333167995926,88504.84234064593,suburban,2023-02-05 01:57:29.571961,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.1398450080165595,0.5923631026365724,senior,high,0.14400000000000004,0.0036
76,premium,49.132658435223796,24360.721562974533,rural,2023-09-23 01:57:29.578317,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.33888090666962906,0.5343815222296681,adult,low,0.14400000000000004,0.0036
77,premium,76.12891308937898,25729.82466812902,urban,2023-07-20 01:57:29.585838,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.19408775315276663,0.4094304544440317,elderly,low,0.14400000000000004,0.0036
78,premium,28.08259169248041,48152.99872067304,rural,2024-03-31 01:57:29.591851,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.4151180170619966,0.2409750803822535,young_adult,medium,0.14400000000000004,0.0036
79,premium,70.25891537186803,28869.988333882196,suburban,2024-07-19 01:57:29.599998,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.1751041552516418,0.5114307202982984,elderly,low,0.14400000000000004,0.0036
80,premium,44.61668893512832,65275.0075759705,suburban,2024-02-03 01:57:29.606010,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.166733175293429,0.2696365913221298,adult,high,0.14400000000000004,0.0036
81,premium,21.661520242651566,31691.44389473712,rural,2023-09-28 01:57:29.613505,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.4233910425225104,0.2946969384778464,young,medium,0.14400000000000004,0.0036
82,premium,40.17547423173926,102577.51049948523,urban,2023-09-26 01:57:29.620024,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.21264487022236203,0.5376156559236566,adult,very_high,0.14400000000000004,0.0036
83,premium,42.15008419226431,45442.13997507106,urban,2023-07-29 01:57:29.627053,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.36614580595245383,0.7598664517282789,adult,medium,0.14400000000000004,0.0036
84,premium,35.64346558956292,94562.44386797021,urban,2024-02-10 01:57:29.633654,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.4562715569244404,0.2597062956641211,adult,high,0.14400000000000004,0.0036
85,premium,28.850092377335017,50726.512427843765,suburban,2025-04-27 01:57:29.639667,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2346735148170496,0.15180949010878306,young_adult,medium,0.14400000000000004,0.0036
86,premium,63.34785158139987,51385.77721344819,suburban,2025-05-31 01:57:29.646827,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2875187991059628,0.45778645336095064,senior,medium,0.14400000000000004,0.0036
87,premium,30.129114758155392,12373.40812994015,urban,2023-06-14 01:57:29.653389,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.12383963061236869,0.44652825985598654,young_adult,low,0.14400000000000004,0.0036
88,premium,27.64883662422077,16875.228794962637,suburban,2024-08-19 01:57:29.660406,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2166558858001218,0.4655485572746233,young_adult,low,0.14400000000000004,0.0036
89,premium,46.56301655927814,35196.5531899027,rural,2024-07-30 01:57:29.667656,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.19383055041449868,0.5214596578703395,adult,medium,0.14400000000000004,0.0036
90,premium,35.95014652167431,16425.563368266787,urban,2024-07-04 01:57:29.673668,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.46363683666539046,0.35833412910676454,adult,low,0.14400000000000004,0.0036
91,premium,46.87836753971861,29298.664959280082,rural,2025-01-29 01:57:29.681755,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.40397040128764766,0.770910196514174,adult,low,0.14400000000000004,0.0036
92,premium,57.043524272185294,27440.51704075016,rural,2024-11-29 01:57:29.688013,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2877712044868488,0.5237572512082567,senior,low,0.14400000000000004,0.0036
93,premium,53.381111289177625,20030.822141357607,urban,2023-11-07 01:57:29.694806,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.17346527461462147,0.5898221445186794,senior,low,0.14400000000000004,0.0036
94,premium,20.26376499098666,61259.092493939286,rural,2023-10-07 01:57:29.701585,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.15656806729427286,0.3715770608740345,young,high,0.14400000000000004,0.0036
95,premium,27.410951147080258,19599.62964466933,suburban,2025-02-09 01:57:29.709342,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.4648929801610768,0.5689574913825199,young_adult,low,0.14400000000000004,0.0036
96,premium,33.9670508611535,67376.16420922382,rural,2023-09-02 01:57:29.715907,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.15410095956812198,0.5132838483210037,young_adult,high,0.14400000000000004,0.0036
97,premium,47.33140996114405,124600.38531045525,suburban,2024-01-27 01:57:29.723923,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2649688949453816,0.15379985401354607,adult,very_high,0.14400000000000004,0.0036
98,premium,46.22744037821347,34563.55815196483,rural,2025-01-12 01:57:29.729770,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.29230229569214045,0.3523418836605997,adult,medium,0.14400000000000004,0.0036
99,premium,81.97316453786524,31254.850458867495,suburban,2024-10-24 01:57:29.737526,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.4150593479779625,0.42999908089413336,elderly,medium,0.14400000000000004,0.0036
100,premium,45.9671162221518,13524.616072740133,suburban,2023-03-14 01:57:29.743538,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2925315064000335,0.24655873392072744,adult,low,0.14400000000000004,0.0036
101,premium,34.36310422647131,55671.872337161156,rural,2025-03-31 01:57:29.750730,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2665789409341022,0.4944256978402001,young_adult,medium,0.14400000000000004,0.0036
102,premium,25.907630819077394,71161.20642314131,rural,2025-03-19 01:57:29.758746,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.09608696697730265,0.4698717159387703,young_adult,high,0.14400000000000004,0.0036
103,premium,59.02857242099441,28370.77120135121,urban,2024-11-18 01:57:29.763698,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2854883715150308,0.21148840561722473,senior,low,0.14400000000000004,0.0036
104,premium,60.17854967740118,42639.06652793375,suburban,2025-05-29 01:57:29.772429,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.3886287398655627,0.5295698644988764,senior,medium,0.14400000000000004,0.0036
105,premium,22.35867129889856,31638.701264288884,urban,2022-11-06 01:57:29.777691,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.4322044906432506,0.4138224398536782,young,medium,0.14400000000000004,0.0036
106,premium,8.491466151779484,39850.24156445939,rural,2024-06-18 01:57:29.784557,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.26031945457037825,0.5979533383804576,young,medium,0.14400000000000004,0.0036
107,premium,32.079244464648845,23383.104662434765,urban,2025-01-01 01:57:29.792072,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.2132481161907696,0.6663820638424619,young_adult,low,0.14400000000000004,0.0036
108,premium,32.56443812470188,40168.97779114697,rural,2023-02-24 01:57:29.798774,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.12661927985955634,0.34075374097007965,young_adult,medium,0.14400000000000004,0.0036
109,premium,36.25383842146592,66627.03591753286,suburban,2023-09-11 01:57:29.805790,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.25516066765016776,0.2424763114444868,adult,high,0.14400000000000004,0.0036
110,premium,49.50288243900292,29375.036352744828,suburban,2023-08-06 01:57:29.811451,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.10388946641343175,0.6621356320496979,adult,low,0.14400000000000004,0.0036
111,premium,32.155401458352756,47551.37819100192,rural,2024-11-07 01:57:29.818850,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.4730007111733391,0.4438638427571444,young_adult,medium,0.14400000000000004,0.0036
112,premium,59.17790590520391,54912.54976582782,rural,2022-12-20 01:57:29.827027,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.31329666171199644,0.24170296489741128,senior,medium,0.14400000000000004,0.0036
113,premium,39.005457215780964,65073.60517304346,urban,2025-02-20 01:57:29.834187,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.09600790026473052,0.550490814619238,adult,high,0.14400000000000004,0.0036
114,premium,46.66231642700704,22110.957521060187,urban,2025-04-04 01:57:29.840369,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.23972659801611854,0.6610186386326969,adult,low,0.14400000000000004,0.0036
115,premium,31.7093631850249,21761.694884197426,rural,2024-05-16 01:57:29.846916,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.5796567753706238,0.7145168620379291,young_adult,low,0.14400000000000004,0.0036
116,premium,28.205738500664832,14073.0595619846,urban,2022-12-17 01:57:29.854931,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.20681919982190633,0.49954826517029133,young_adult,low,0.14400000000000004,0.0036
117,premium,65.8574967186112,83335.47495232377,suburban,2023-04-02 01:57:29.861467,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.28813010593813615,0.5600357948038879,elderly,high,0.14400000000000004,0.0036
118,premium,41.94489374734551,31197.229631933835,urban,2023-11-15 01:57:29.867566,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.5607541380989048,0.48245602544017235,adult,medium,0.14400000000000004,0.0036
119,premium,28.034604127620856,37552.504721860154,rural,2022-12-15 01:57:29.874201,0.08,0.3,0.6,0.02,0.8,0.9,0.2,0.1,0.4,0.5432010941540448,0.31139578843391863,young_adult,medium,0.14400000000000004,0.0036
